symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
GEOJITFSL,Geojit Financial Services Limited,7(2),BNP Paribas SA,30-Jul-2025 14:33,1185534,,0,0,0,0,Equity Shares,258102,547222,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185534_1497611_30072025023330_WEB.xml,Promoters,62640736,22.44,19111488,Equity Shares,62382634,22.35,28-Jul-2025,29-Jul-2025,30-Jul-2025,Market Sale,-,NSE,-
DBCORP,D.B.Corp Limited,7(2),D B Power Limited,30-Jul-2025 13:37,1185532,,0,0,0,0,Equity Shares,12551,547218,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185532_1497560_30072025013753_WEB.xml,Promoter Group,1134641,0.64,3362526,Equity Shares,1147192,0.64,29-Jul-2025,29-Jul-2025,30-Jul-2025,Market Purchase,-,NSE,-
DBCORP,D.B.Corp Limited,7(2),D B Power Limited,30-Jul-2025 13:37,1185532,,0,0,0,0,Equity Shares,99954,547219,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185532_1497560_30072025013753_WEB.xml,Promoter Group,1034518,0.58,26840138,Equity Shares,1134472,0.64,28-Jul-2025,28-Jul-2025,29-Jul-2025,Market Purchase,-,NSE,-
DBCORP,D.B.Corp Limited,7(2),D B Power Limited,30-Jul-2025 13:37,1185532,,0,0,0,0,Equity Shares,169,547217,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185532_1497560_30072025013753_WEB.xml,Promoter Group,1134472,0.64,46017,Equity Shares,1134641,0.64,28-Jul-2025,28-Jul-2025,29-Jul-2025,Market Purchase,-,BSE,-
DBCORP,D.B.Corp Limited,7(2),D B Power Limited,30-Jul-2025 13:37,1185532,,0,0,0,0,Equity Shares,845,547220,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185532_1497560_30072025013753_WEB.xml,Promoter Group,1147192,0.64,226607,Equity Shares,1148037,0.64,29-Jul-2025,29-Jul-2025,30-Jul-2025,Market Purchase,-,BSE,-
AFFLE,Affle 3i Limited,7(2),Affle (India) Limited Employees Welfare Trust,30-Jul-2025 11:35,1185530,,0,0,0,0,Equity Shares,1571,547212,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185530_1497371_30072025113526_WEB.xml,Other,171200,0.09,2956920,Equity Shares,169629,0.09,29-Jul-2025,29-Jul-2025,29-Jul-2025,ESOP,-,NSE,-
ZENSARTECH,Zensar Technologies Limited,7(2),Vijayasimha Alilughatta,30-Jul-2025 10:52,1185527,,0,0,0,0,Equity Shares,4000,547210,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185527_1497314_30072025105215_WEB.xml,Employees/Designated Employees,21351,0,3216000,Equity Shares,17351,0,29-Jul-2025,29-Jul-2025,29-Jul-2025,Market Sale,-,NSE,-
ZENSARTECH,Zensar Technologies Limited,7(2),Vijayasimha Alilughatta,30-Jul-2025 10:52,1185527,,0,0,0,0,Equity Shares,4000,547209,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185527_1497314_30072025105215_WEB.xml,Employees/Designated Employees,25351,0.01,3184000,Equity Shares,21351,0,28-Jul-2025,28-Jul-2025,28-Jul-2025,Market Sale,-,NSE,-
MAHICKRA,Mahickra Chemicals Limited,7(2),MITESHKUMAR CHAMPAKLAL GANDHI,29-Jul-2025 22:41,1185525,,0,0,0,0,Equity Shares,4500,547206,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185525_1497230_29072025104113_WEB.xml,Promoters,712528,8.77,587250,Equity Shares,717028,8.83,25-Jul-2025,25-Jul-2025,25-Jul-2025,Market Purchase,-,NSE,-
MAHICKRA,Mahickra Chemicals Limited,7(2),MITESHKUMAR CHAMPAKLAL GANDHI,29-Jul-2025 22:41,1185525,,0,0,0,0,Equity Shares,750,547205,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185525_1497230_29072025104113_WEB.xml,Promoters,711778,8.76,97838,Equity Shares,712528,8.77,25-Jul-2025,25-Jul-2025,25-Jul-2025,Market Purchase,-,NSE,-
WANBURY,Wanbury Limited,7(3),SBICAP Trustee Company Limited,29-Jul-2025 19:25,1185523,,0,0,0,0,Equity Shares,9172561,547202,Pledge Revoke,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185523_1497057_29072025072517_WEB.xml,-,9998304,30.41,28,Equity Shares,9998304,30.41,25-Jul-2025,25-Jul-2025,28-Jul-2025,Revokation of Pledge,-,NA,-
