symbol,timeframe,startdate
ADANIENT,1d,2000-01-01
ADANIPORTS,1d,2000-01-01
APOLLOHOSP,1d,2000-01-01
ASIANPAINT,1d,2000-01-01
AXISBANK,1d,2000-01-01
BAJAJ-AUTO,1d,2000-01-01
BAJFINANCE,1d,2000-01-01
BAJAJFINSV,1d,2000-01-01
BEL,1d,2000-01-01
BHARTIARTL,1d,2000-01-01
CIPLA,1d,2000-01-01
COALINDIA,1d,2000-01-01
DRREDDY,1d,2000-01-01
EICHERMOT,1d,2000-01-01
ETERNAL,1d,2000-01-01
GRASIM,1d,2000-01-01
HCLTECH,1d,2000-01-01
HDFCBANK,1d,2000-01-01
HDFCLIFE,1d,2000-01-01
HEROMOTOCO,1d,2000-01-01
HINDALCO,1d,2000-01-01
HINDUNILVR,1d,2000-01-01
ICICIBANK,1d,2000-01-01
ITC,1d,2000-01-01
INDUSINDBK,1d,2000-01-01
INFY,1d,2000-01-01
JSWSTEEL,1d,2000-01-01
JIOFIN,1d,2000-01-01
KOTAKBANK,1d,2000-01-01
LT,1d,2000-01-01
M&M,1d,2000-01-01
MARUTI,1d,2000-01-01
NTPC,1d,2000-01-01
NESTLEIND,1d,2000-01-01
ONGC,1d,2000-01-01
POWERGRID,1d,2000-01-01
RELIANCE,1d,2000-01-01
SBILIFE,1d,2000-01-01
SHRIRAMFIN,1d,2000-01-01
SBIN,1d,2000-01-01
SUNPHARMA,1d,2000-01-01
TCS,1d,2000-01-01
TATACONSUM,1d,2000-01-01
TATAMOTORS,1d,2000-01-01
TATASTEEL,1d,2000-01-01
TECHM,1d,2000-01-01
TITAN,1d,2000-01-01
TRENT,1d,2000-01-01
ULTRACEMCO,1d,2000-01-01
WIPRO,1d,2000-01-01
